Township,Temperature,Precipitation,SynCanLR,SynCanLAS,SynCanRF,SynCanGBR,SynCanXGB,SynCanSVR
E1-06-010,26.0587525,87.07045455,40.936454885860016,40.96296250873898,49.19472071540004,50.269715940248986,49.242447,50.22842591694895
E1-06-011,26.00785355,86.935,41.127435117519894,41.15314909388517,48.92065503440006,50.269715940248986,49.45642,49.945498514018084
E1-06-012,25.9831985,86.91954545,41.21874230143259,41.244123264982576,48.86686427680005,50.269715940248986,49.21145,49.80915771532548
E1-06-013,25.84999852,86.90090909,41.71047891458521,41.73412725479545,50.02429563190001,48.97914735506828,48.481045,49.00957739151214
E1-06-014,25.85423308,87.45090909,41.681678643824235,41.705945326515256,50.53019493750002,48.97914735506828,48.296417,49.13507581434451
E1-06-015,25.89862668,88.94636364,41.482097824492584,41.50846875923344,50.04653212250001,50.50445745937211,52.003796,49.59096871278445
E1-06-016,25.90595921,90.80590909,41.41048565788813,41.43885735335485,49.78845596400002,50.965122119598036,49.20278,49.70513878713248
E1-07-001,26.14432217,89.54636364,40.56150350795733,40.591650258280566,50.13014195420003,49.84920940732253,50.66397,50.819722524721456
E1-07-002,26.16158109,90.05772727,40.485590646987326,40.51648367776572,49.91949718180004,52.35005009398068,51.38536,50.8835113900821
E1-07-003,25.86143446,90.27909091,41.58733520876364,41.61459402524843,49.98690247010001,49.91315980991503,50.565067,49.445261410125894
E1-07-004,25.65041109,90.67590909,42.35615571723255,42.38110670137206,49.12237200450003,49.223563803034416,46.200123,48.13068752186981
E1-07-005,25.63854758,90.16863636,42.4120702989114,42.43634860451824,49.37698561050002,50.350517193094255,49.717106,48.01895920712518
E1-07-006,25.87070843,89.46363636,41.57267317290252,41.599215276037135,50.18088132450001,50.50445745937211,50.88917,49.46340178631464
E1-07-007,25.88502778,89.01409091,41.53063231486638,41.55689774502735,50.09610455030001,50.50445745937211,51.599487,49.516237406389514
E1-07-008,25.80482187,88.88181818,41.829631014178666,41.854729047984286,50.25519442460001,49.213888874191404,49.802998,49.008128571808
E1-07-009,25.79343388,88.64136364,41.877396959164294,41.90210197756444,50.32205523300001,48.97914735506828,46.596237,48.90916626680845
E1-07-010,25.68428975,88.395,42.285864716848394,42.308913102890095,49.71961054900004,48.52815762368537,48.0573,48.14597791016704
E1-07-011,25.84802585,88.31590909,41.68384198749628,41.708915629551754,50.53019493750002,48.97914735506828,48.53381,49.219491027327976
E1-07-012,25.90142656,88.45227273,41.48361256737774,41.509512971210874,50.04653212250001,50.269715940248986,50.70044,49.56045535948866
E1-07-013,25.74610674,88.55863636,42.05393935915759,42.07795073645068,49.935673926499994,48.97914735506828,46.655716,48.58726745672949
E1-07-014,25.5958915,89.07272727,42.595666734722,42.61827276002631,50.37755986210001,49.55995573916134,50.354713,47.62183847343837
E1-07-015,25.59456089,90.46454545,42.56721724813016,42.591233068554466,49.8527733738,49.28065710087765,46.54071,47.74646080291659
E1-07-016,25.65726186,91.98227273,42.29957838778599,42.32595680506794,47.083887341300034,49.82339263309003,46.933533,48.21959523663904
E1-07-018,25.62847451,92.47409091,42.393969353824794,42.42048166281812,46.53808409890004,50.06992955762158,46.11381,48.046579163848826
E1-08-001,25.92702263,89.67590909,41.359878453412904,41.387362621284446,49.56591060560004,50.50445745937211,49.982456,49.79932860470523
E1-08-002,25.95913109,90.48818182,41.22198329728217,41.25071327014046,49.36301068930005,50.22515882108842,47.05928,49.9896952861257
E1-08-003,25.70980688,90.90136364,42.131679048816416,42.15762525421434,50.21439368020004,49.223563803034416,46.57369,48.52721391252006
E1-08-004,25.54877595,91.75954545,42.70505190570028,42.72980639046954,47.83398489900001,47.64276594886833,46.814693,47.525264369565214
E1-08-005,25.60137478,91.52363636,42.51670225178129,42.541891523285145,49.1874865026,50.620449229442876,47.085686,47.85145965777388
E1-08-006,25.56683794,91.145,42.65316133251819,42.67751813012865,49.07720669590001,49.49834265535757,50.746555,47.608486015669484
E1-08-007,25.48723002,90.96590909,42.95107650357523,42.97422559883491,45.28506112420002,45.48444611411594,43.767456,47.07886273281919
E1-08-008,25.46272983,90.81681818,43.04501532729431,43.06769639593923,45.288281489900015,45.48444611411594,43.8379,46.90872341664164
E1-08-009,25.46024397,90.56181818,43.060295586152584,43.08268324634734,45.30187042490002,44.744482815606325,43.037025,46.8688337547665
E1-08-010,25.43777719,90.23,43.15111382028659,43.172872277472116,45.837622998700006,45.72305238961364,47.2413,46.69012365593234
E1-08-011,25.48891237,90.15090909,42.964404228745835,42.986739416213126,45.91112477650001,46.61139950417578,47.47066,47.015003764234514
E1-08-012,25.59777812,90.33227273,42.55852107189024,42.58244267161432,49.62764856010001,50.259226674884964,50.814,47.75803988320066
E1-08-013,25.52263238,90.45681818,42.832700945235786,42.85578353763198,45.76831006490001,44.744482815606325,42.76268,47.2670331301431
E1-08-014,25.47924482,90.67363636,42.9875336316384,43.01028036104573,45.20938708060002,45.48444611411594,43.753242,47.002072019857565
E1-08-015,25.49800801,91.32454545,42.90272803461052,42.92638345982194,46.14803917160001,46.084274944171554,44.337162,47.17543237761498
E1-08-016,25.46484611,92.01545455,43.008482383505005,43.032419536079594,47.56499905069998,46.084274944171554,46.85981,47.015078661660766
E1-08-017,25.50782891,92.565,42.83677540773175,42.86182890359747,45.80115182400002,46.3308118687031,45.907307,47.307210471414194
E1-08-018,25.60102485,92.74227273,42.48878625366685,42.51522038746602,46.645493467500025,47.22701780390031,46.583378,47.88110783598383
E1-09-001,25.77728766,89.72136364,41.91106607597831,41.93667061730186,49.7809707764,49.213888874191404,49.479843,48.901370412277096
E1-09-002,25.72222104,90.85409091,42.0870240829646,42.11308152245215,50.32258042720004,49.67455353441733,46.986355,48.604996242396666
